,inundation,total_island_breached
24,19.574136,50.93084959980624
50,13.851,45.382083209476946
95,15.792084,46.5050478360912
98,14.546304,45.73218394600962
141,19.544004,49.41925113672645
152,21.658104,51.938214926621974
217,13.132368,43.77470246942123
239,12.030444,41.319593530842994
253,19.012644,51.16094725369093
254,16.489656,50.76130396010172
258,16.43166,47.928570642181626
263,13.872384,45.57144587200405
268,12.764304,42.43044775462122
18,11.20716,43.1901002961544
32,12.231972,46.31458422785172
34,9.67464,42.048419592429894
58,12.407256,44.85362926754082
90,10.989108,43.90351311776816
99,10.532916,42.74201539122106
102,12.12246,46.17476412238112
116,9.745272,41.74125573867953
174,13.060764,45.54612412061961
10,18.774828,47.4936970857967
14,17.816112,45.04849665862976
58,19.827504,46.968545980997675
107,15.176808,43.67781924673294
114,21.271896,50.4662505091874
116,17.4069,46.41477028767711
133,18.381168,46.38284286201847
166,17.825508,48.4955576840506
